"G.A.B. Canvass Reporting System",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,
,,,,,,,,,,,,,
"2012 PRESIDENTIAL AND GENERAL ELECTION",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President of the United States",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","IND",,"IND","IND","IND","IND","IND",
,,,"MITT ROMNEY
PAUL RYAN","BARACK OBAMA
JOE BIDEN","VIRGIL GOODE
JIM CLYMER","GARY JOHNSON
JAMES P. GRAY",,"GLORIA LA RIVA
FILBERTO RAMIREZ, JR.","JERRY WHITE
PHYLLIS SCHERRER","JILL STEIN
BEN MANSKI","ROSS C. ROCKY ANDERSON
LUIS J. RODRIGUEZ (WRITE-IN)","ROSEANNE BARR
CINDY LEE SHEEHAN (WRITE IN)","SCATTERING"
,"TOWN OF MODENA Ward 1",177,86,89,0,0,,0,0,0,0,0,2
,"TOWN OF MONDOVI Ward 1",265,131,131,0,3,,0,0,0,0,0,0
,"TOWN OF MONTANA Ward 1",150,79,67,3,0,,0,1,0,0,0,0
,"TOWN OF NAPLES Ward 1",365,203,154,0,5,,0,1,2,0,0,0
,"TOWN OF NELSON Ward 1",310,172,136,0,0,,0,0,1,0,0,1
,"TOWN OF WAUMANDEE Ward 1",273,157,111,1,1,,0,0,0,0,1,2
,"VILLAGE OF COCHRANE Ward 1",223,100,119,0,1,,1,0,2,0,0,0
,"VILLAGE OF NELSON Ward 1",164,62,96,4,2,,0,0,0,0,0,0
,"CITY OF ALMA Wards 1 - 2",450,210,234,0,3,,0,1,1,0,0,1
,"CITY OF BUFFALO CITY Ward 1",563,261,293,2,3,,1,0,0,0,0,3
,"CITY OF FOUNTAIN CITY Ward 1 & 2",472,200,261,2,7,,0,0,2,0,0,0
,"CITY OF MONDOVI Wards 1-3","1,155",509,631,9,4,,1,0,0,0,0,1
,"County Totals:","7,039","3,364","3,570",29,41,,3,4,14,0,2,12
"BURNETT ","TOWN OF ANDERSON WARD 1",211,126,83,0,0,,0,0,1,0,0,1
,"TOWN OF BLAINE WARD 1",119,56,58,2,3,,0,0,0,0,0,0
,"TOWN OF DANIELS WARD 1",379,227,141,3,5,,1,0,2,0,0,0
,"TOWN OF DEWEY WARD 1",262,136,122,0,2,,0,0,2,0,0,0
,"TOWN OF GRANTSBURG WARDS 1-3",552,316,226,1,8,,0,0,0,0,0,1
,"TOWN OF JACKSON WARD 1",570,284,279,2,2,,1,0,1,0,0,1
,"TOWN OF LA FOLLETTE WARDS 1-2",302,149,149,2,0,,0,0,1,0,0,1
,"TOWN OF LINCOLN WARD 1",159,75,78,2,3,,0,0,1,0,0,0
,"TOWN OF MEENON WARDS 1-3",544,289,251,1,0,,0,0,0,0,0,3
,"TOWN OF OAKLAND WARDS 1-2",547,246,292,1,7,,0,0,1,0,0,0
