county_city_key,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12,scanner,voting_machine
BURNETT___TOWN OF UNION,204,126,75,0,2,0,1,0,0,194,101,90,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF WEBB LAKE,282,172,99,1,8,0,2,0,0,280,145,133,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF WEST MARSHLAND,195,143,42,3,6,0,1,0,0,188,118,69,1,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF WOOD RIVER,517,360,126,10,15,0,5,1,0,526,352,168,3,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___VILLAGE OF GRANTSBURG,609,378,196,3,19,0,4,9,0,663,372,284,0,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___VILLAGE OF SIREN,358,218,127,0,11,0,2,0,0,355,170,182,1,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___VILLAGE OF WEBSTER,323,192,122,0,7,0,2,0,0,326,136,187,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
CALUMET___TOWN OF BRILLION,822,568,195,13,35,0,9,2,0,815,520,287,2,5,0,0,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET___TOWN OF BROTHERTOWN,734,526,186,3,14,0,2,3,0,764,511,246,1,6,0,0,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET___TOWN OF CHARLESTOWN,460,315,123,1,13,0,4,4,0,466,278,184,1,3,0,0,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET___TOWN OF CHILTON,640,449,150,5,23,0,8,5,0,627,414,203,6,4,0,0,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET___TOWN OF HARRISON,304,153,118,7,20,0,2,4,0,5889,3382,2427,8,55,0,0,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET___TOWN OF NEW HOLSTEIN,797,517,234,8,25,0,6,7,0,813,487,312,3,7,0,0,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET___TOWN OF RANTOUL,417,312,87,3,9,0,4,2,0,434,276,151,3,4,0,0,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET___TOWN OF STOCKBRIDGE,923,629,260,6,22,0,4,2,0,902,535,345,4,14,0,0,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET___TOWN OF WOODVILLE,501,357,111,4,22,0,5,2,0,521,332,179,2,7,0,0,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET___VILLAGE OF HARRISON,5901,3385,2162,27,260,0,39,28,0,5889,3382,2427,8,55,0,0,Dominion (Premier)-Accuvote-OS/ES&S DS200,Dominion (Premier)-Accuvote TSX/ES&S ExpressVote
CALUMET___VILLAGE OF HILBERT,532,380,118,2,25,0,6,1,0,573,361,207,1,3,0,0,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
